                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.4266,                 1.1879,                 1.5513,                 0.6119,                0.66044,                0.68041,                0.35703,                  1.633,                 1.3228,                 1.8111,               0.006502,               0.006502,               0.006502
                    108,                 1.4285,                  1.181,                 1.5507,                0.62884,                0.55339,                0.63966,                0.32633,                 1.6702,                 1.4019,                 1.8321,               0.006469,               0.006469,               0.006469
                    109,                 1.4132,                   1.18,                 1.5553,                0.61281,                0.62664,                0.65457,                0.34311,                 1.6308,                 1.3373,                  1.823,               0.006436,               0.006436,               0.006436
                    110,                  1.403,                 1.1731,                 1.5323,                0.56704,                0.59141,                0.65525,                0.34796,                 1.6642,                 1.3376,                 1.8481,               0.006403,               0.006403,               0.006403
                    111,                 1.4237,                 1.1883,                 1.5568,                0.63526,                0.64261,                0.70161,                0.36363,                 1.5945,                 1.3093,                 1.8109,                0.00637,                0.00637,                0.00637
                    112,                 1.4185,                  1.181,                 1.5525,                0.70985,                 0.6175,                0.68873,                 0.3606,                 1.6209,                 1.2912,                 1.8059,               0.006337,               0.006337,               0.006337
                    113,                  1.417,                  1.156,                 1.5461,                0.65762,                0.62008,                0.67683,                0.35895,                 1.6206,                 1.3223,                  1.832,               0.006304,               0.006304,               0.006304
                    114,                 1.4022,                 1.1583,                 1.5491,                0.70881,                0.64028,                 0.6862,                0.36213,                 1.6007,                 1.2934,                 1.8013,               0.006271,               0.006271,               0.006271
                    115,                 1.3972,                 1.1513,                 1.5422,                0.67873,                0.58765,                0.67278,                0.33609,                 1.6642,                 1.3597,                 1.8332,               0.006238,               0.006238,               0.006238
                    116,                 1.4079,                 1.1641,                 1.5488,                0.61937,                0.66805,                0.69487,                0.36632,                 1.5813,                 1.2822,                 1.7998,               0.006205,               0.006205,               0.006205
                    117,                 1.4137,                 1.1574,                 1.5454,                0.64943,                 0.5628,                0.64484,                0.34293,                  1.629,                 1.3779,                 1.8264,               0.006172,               0.006172,               0.006172
                    118,                 1.3993,                 1.1651,                 1.5401,                0.62997,                 0.6328,                0.69507,                 0.3712,                 1.5961,                  1.283,                 1.7995,               0.006139,               0.006139,               0.006139
                    119,                  1.413,                  1.162,                 1.5567,                0.60397,                0.66449,                0.69003,                0.37031,                 1.5944,                 1.2937,                  1.779,               0.006106,               0.006106,               0.006106
                    120,                 1.4013,                 1.1462,                  1.546,                0.61839,                0.62461,                0.64358,                 0.3415,                  1.664,                 1.3406,                 1.8521,               0.006073,               0.006073,               0.006073
                    121,                 1.3802,                 1.1454,                 1.5354,                0.68229,                 0.5928,                0.67405,                0.35544,                 1.5861,                 1.2871,                 1.7915,                0.00604,                0.00604,                0.00604
                    122,                  1.386,                 1.1614,                 1.5346,                0.65152,                0.67854,                0.71744,                0.37366,                 1.5719,                  1.268,                 1.7793,               0.006007,               0.006007,               0.006007
                    123,                 1.3903,                 1.1504,                 1.5328,                0.62657,                0.65295,                0.69467,                0.36296,                  1.627,                 1.2975,                 1.8222,               0.005974,               0.005974,               0.005974
                    124,                 1.3935,                 1.1469,                 1.5381,                0.70143,                0.61955,                 0.6635,                0.34817,                 1.6374,                 1.3221,                 1.8389,               0.005941,               0.005941,               0.005941
                    125,                 1.3937,                 1.1523,                 1.5392,                 0.5497,                0.59257,                0.61245,                0.30587,                 1.7114,                 1.4667,                 1.8817,               0.005908,               0.005908,               0.005908
                    126,                 1.3768,                 1.1417,                  1.543,                0.64917,                0.66499,                0.69859,                0.37145,                 1.5888,                 1.2758,                 1.7985,               0.005875,               0.005875,               0.005875
                    127,                 1.3832,                 1.1429,                 1.5314,                0.68765,                0.56858,                0.67235,                0.34731,                 1.6193,                  1.352,                 1.8068,               0.005842,               0.005842,               0.005842
                    128,                 1.3957,                 1.1542,                 1.5411,                0.67599,                0.58277,                0.66249,                0.34938,                 1.6634,                  1.313,                 1.8289,               0.005809,               0.005809,               0.005809
                    129,                 1.3857,                 1.1445,                 1.5443,                0.63285,                0.62726,                 0.6576,                0.34557,                 1.6619,                 1.3152,                 1.8489,               0.005776,               0.005776,               0.005776
                    130,                 1.3691,                 1.1425,                 1.5352,                0.61819,                0.64108,                 0.6752,                0.34981,                 1.6525,                 1.3186,                 1.8258,               0.005743,               0.005743,               0.005743
                    131,                 1.3997,                 1.1554,                 1.5247,                0.57279,                0.61166,                0.64346,                 0.3442,                 1.6304,                 1.3317,                 1.8251,                0.00571,                0.00571,                0.00571
                    132,                 1.3842,                 1.1346,                 1.5469,                0.67632,                0.62616,                0.68531,                0.34426,                 1.6985,                 1.3166,                 1.8615,               0.005677,               0.005677,               0.005677
                    133,                 1.3993,                 1.1528,                 1.5267,                0.61262,                0.68153,                 0.6977,                0.37734,                 1.5815,                 1.2972,                 1.7703,               0.005644,               0.005644,               0.005644
                    134,                 1.3855,                 1.1384,                 1.5213,                0.61903,                0.64157,                0.68425,                0.36833,                 1.6169,                 1.3125,                  1.829,               0.005611,               0.005611,               0.005611
                    135,                 1.3859,                 1.1374,                 1.5347,                0.66403,                0.64184,                0.69721,                0.36649,                 1.6308,                 1.2822,                 1.8215,               0.005578,               0.005578,               0.005578
                    136,                 1.3736,                 1.1171,                 1.5129,                0.61894,                   0.62,                0.66048,                 0.3475,                 1.6581,                 1.3206,                  1.819,               0.005545,               0.005545,               0.005545
                    137,                 1.3708,                 1.1222,                 1.5255,                0.62437,                0.65887,                0.69765,                0.36716,                 1.5743,                 1.2734,                 1.7704,               0.005512,               0.005512,               0.005512
                    138,                 1.3924,                 1.1383,                 1.5417,                0.61345,                0.67373,                0.68253,                0.36388,                 1.6109,                 1.2775,                  1.801,               0.005479,               0.005479,               0.005479
                    139,                 1.3522,                 1.1076,                 1.5051,                0.60503,                0.64616,                0.69386,                0.35817,                 1.5895,                 1.2767,                 1.8224,               0.005446,               0.005446,               0.005446
                    140,                 1.3818,                 1.1437,                 1.5359,                0.59317,                0.69669,                0.68559,                0.35142,                 1.6654,                  1.308,                 1.8345,               0.005413,               0.005413,               0.005413
                    141,                 1.3768,                  1.128,                 1.5222,                0.66706,                0.66972,                0.72132,                0.37319,                 1.5659,                 1.2531,                 1.7631,                0.00538,                0.00538,                0.00538
