                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                  1.392,                 1.1838,                 1.5239,                0.66584,                 0.6883,                0.74605,                 0.3984,                 1.5688,                 1.2366,                 1.7125,               0.005512,               0.005512,               0.005512
                    138,                 1.3794,                 1.1647,                 1.4876,                0.64096,                0.66162,                0.71048,                0.37524,                 1.6103,                 1.2924,                 1.7551,               0.005479,               0.005479,               0.005479
                    139,                 1.4075,                 1.1745,                 1.5122,                0.67311,                0.65421,                0.69773,                0.36338,                 1.5899,                 1.3159,                 1.7495,               0.005446,               0.005446,               0.005446
                    140,                  1.384,                 1.1547,                 1.4995,                0.63533,                0.66092,                0.70042,                0.37361,                  1.595,                  1.295,                 1.7442,               0.005413,               0.005413,               0.005413
                    141,                 1.3887,                 1.1506,                  1.504,                0.63385,                0.65159,                0.70613,                0.37455,                 1.5817,                 1.2784,                 1.7251,                0.00538,                0.00538,                0.00538
                    142,                 1.3731,                 1.1622,                  1.502,                0.63091,                 0.6175,                0.66553,                0.34118,                 1.7064,                 1.3945,                 1.8123,               0.005347,               0.005347,               0.005347
                    143,                 1.3863,                 1.1545,                 1.5027,                0.68231,                0.65017,                0.72309,                0.39354,                 1.5375,                 1.2591,                 1.6918,               0.005314,               0.005314,               0.005314
                    144,                 1.3934,                 1.1654,                 1.5104,                0.68535,                0.65474,                 0.7101,                0.37649,                 1.6042,                 1.2706,                  1.743,               0.005281,               0.005281,               0.005281
                    145,                 1.3966,                 1.1639,                 1.5092,                0.72283,                0.58401,                0.68099,                0.35472,                 1.6769,                 1.3674,                 1.7994,               0.005248,               0.005248,               0.005248
                    146,                 1.3682,                 1.1466,                 1.4926,                0.68071,                0.66289,                0.71437,                0.36929,                 1.5823,                 1.2735,                   1.75,               0.005215,               0.005215,               0.005215
                    147,                 1.3913,                  1.172,                 1.5124,                0.61463,                0.67863,                0.71626,                0.37859,                 1.5777,                 1.3013,                 1.7367,               0.005182,               0.005182,               0.005182
                    148,                 1.3806,                 1.1583,                 1.5027,                0.66266,                0.67042,                0.72065,                0.38742,                 1.5731,                 1.2747,                 1.7251,               0.005149,               0.005149,               0.005149
                    149,                 1.3628,                 1.1564,                 1.4963,                0.69038,                0.65972,                0.72574,                0.40033,                 1.5412,                 1.2407,                  1.687,               0.005116,               0.005116,               0.005116
                    150,                 1.3875,                 1.1557,                 1.5136,                0.66513,                0.67809,                0.73939,                0.40582,                 1.4991,                 1.2335,                  1.674,               0.005083,               0.005083,               0.005083
